tweet_id,text,translated,combined,predicted_label
2023_test_main_tweet_11,"પારકી પંચાત' - જુઓ સોમ થી શનિ બપોરે 3 વાગ્યે. દિવ્ય ભાસ્કર એપ પર.
#ParkiPanchat | #DivyaBhaskarApp
Download DivyaBhaskar App : @URL @URL","Parki Panchayat ' - See Mon to Saturday at 3pm.On the Divya Bhaskar app.
#Parkipanchat |#Divyabhaskarapp
Download Divyabhaskar App: @url @url","પારકી પંચાત' - જુઓ સોમ થી શનિ બપોરે 3 વાગ્યે. દિવ્ય ભાસ્કર એપ પર.
#ParkiPanchat | #DivyaBhaskarApp
Download DivyaBhaskar App : @URL @URL Parki Panchayat ' - See Mon to Saturday at 3pm.On the Divya Bhaskar app.
#Parkipanchat |#Divyabhaskarapp
Download Divyabhaskar App: @url @url",NOT
2023_test_main_tweet_12,"#ભગવાનના_અવિશ્વસનીય_ચમત્કારો
ભગવાન કબીર પ્રગટ દિવસ
જીવનનું વાહન પાપકર્મોના કાદવમાં અટવાઈ જાય તો ધર્મ પાપના કાદવમાંથી
ચીપિયો (ઘોરી)
મજબૂત બળદ. #SantRampalJiMaharaj_App @URL","#God's_ -reliable_cutritions
Lord Kabir's day revealed
If the vehicle of life is stuck in the mud of sin, religion is from the mud of sin
Chipio (Ghori)
Strong bull.#Santrampaljimaharaj_app @url","#ભગવાનના_અવિશ્વસનીય_ચમત્કારો
ભગવાન કબીર પ્રગટ દિવસ
જીવનનું વાહન પાપકર્મોના કાદવમાં અટવાઈ જાય તો ધર્મ પાપના કાદવમાંથી
ચીપિયો (ઘોરી)
મજબૂત બળદ. #SantRampalJiMaharaj_App @URL #God's_ -reliable_cutritions
Lord Kabir's day revealed
If the vehicle of life is stuck in the mud of sin, religion is from the mud of sin
Chipio (Ghori)
Strong bull.#Santrampaljimaharaj_app @url",NOT
2023_test_main_tweet_13,"#ભગવાનના_અવિશ્વસનીય_ચમત્કારો
ભગવાન કબીર પ્રગટ દિવસ
જે ખેતરમાં બીજ વાવતો નથી. પછી વરસાદ પડે છે. જો તે મૂર્ખ પાક મેળવવાની આશા રાખે છે. તો પણ તે નકામું છે અર્થ એ છે કે જો વ્યક્તિ ભક્તિ કાર્ય કરે અને ભગવાનની કૃપા પ્રાપ્ત કરનાર રહે તો પણ આત્માને લાભ થાય છે. @AUTHOR @URL","#God's_ -reliable_cutritions
Lord Kabir's day revealed
Which does not plant seeds in the field.Then it rains.If he hopes to get a stupid crop.Even so, it is useless that the soul benefits even if a person acts devotion and receives the grace of God.@Author @url","#ભગવાનના_અવિશ્વસનીય_ચમત્કારો
ભગવાન કબીર પ્રગટ દિવસ
જે ખેતરમાં બીજ વાવતો નથી. પછી વરસાદ પડે છે. જો તે મૂર્ખ પાક મેળવવાની આશા રાખે છે. તો પણ તે નકામું છે અર્થ એ છે કે જો વ્યક્તિ ભક્તિ કાર્ય કરે અને ભગવાનની કૃપા પ્રાપ્ત કરનાર રહે તો પણ આત્માને લાભ થાય છે. @AUTHOR @URL #God's_ -reliable_cutritions
Lord Kabir's day revealed
Which does not plant seeds in the field.Then it rains.If he hopes to get a stupid crop.Even so, it is useless that the soul benefits even if a person acts devotion and receives the grace of God.@Author @url",NOT
2023_test_main_tweet_14,@AUTHOR સૂરજ ભડવો ભો####,@Author Suraj Bhado Bound ####,@AUTHOR સૂરજ ભડવો ભો#### @Author Suraj Bhado Bound ####,HOF
2023_test_main_tweet_15,"રાહુલ ગાંધી એ બધા વિરોધ પક્ષના નેતાઓ ને હાશ્યસ્પદ  બનાવી દીધા.
એક મોટા અવસર માંથી બાકાત કરી નજર બંધ કરી દીધા.
આ છે મહાન મૂર્ખ નેતા રાહુલ ગાંધી ની તાકાત. 😄😂🤣 @URL","Rahul Gandhi made all the opposition leaders a disappointment.
Excluded from a big opportunity and closed their eyes.
This is the strength of the great stupid leader Rahul Gandhi.😄😂🤣 @url","રાહુલ ગાંધી એ બધા વિરોધ પક્ષના નેતાઓ ને હાશ્યસ્પદ  બનાવી દીધા.
એક મોટા અવસર માંથી બાકાત કરી નજર બંધ કરી દીધા.
આ છે મહાન મૂર્ખ નેતા રાહુલ ગાંધી ની તાકાત. 😄😂🤣 @URL Rahul Gandhi made all the opposition leaders a disappointment.
Excluded from a big opportunity and closed their eyes.
This is the strength of the great stupid leader Rahul Gandhi.😄😂🤣 @url",HOF
2023_test_main_tweet_16,@AUTHOR આવા મૂર્ખ ના લીધે જ બાબા ઓ ની ભક્તિ ચાલે છે,@Author is the devotion of Baba O because of such a fool,@AUTHOR આવા મૂર્ખ ના લીધે જ બાબા ઓ ની ભક્તિ ચાલે છે @Author is the devotion of Baba O because of such a fool,HOF
2023_test_main_tweet_17,@AUTHOR @USER @USER આને મુકો આ નવરી બજાર છે. આઇટી સેલ વાળો ટ્રોલ છે.,@Author @user @user Put this this is a Navari market.There is a troll with an IT cell.,@AUTHOR @USER @USER આને મુકો આ નવરી બજાર છે. આઇટી સેલ વાળો ટ્રોલ છે. @Author @user @user Put this this is a Navari market.There is a troll with an IT cell.,HOF
2023_test_main_tweet_18,@AUTHOR @USER @USER @USER લન્ડ મારો ફોલો કરવા આખી દુનિયા કરે છે લોડા એ પૈસા દઈને કરાવે છે એ પણ તારી જેમ નપુંસનક છે લોડા,@AUTHOR @user @user @user Lund Londa The whole world does the whole world to follow the money.,@AUTHOR @USER @USER @USER લન્ડ મારો ફોલો કરવા આખી દુનિયા કરે છે લોડા એ પૈસા દઈને કરાવે છે એ પણ તારી જેમ નપુંસનક છે લોડા @AUTHOR @user @user @user Lund Londa The whole world does the whole world to follow the money.,HOF
2023_test_main_tweet_19,"@AUTHOR @USER ઘનચક્કર કે મન કી બકવાસ. 
દિમાગ ઉપર અઠોડા.","@Author @user solid or mind.
At the end of the mind.","@AUTHOR @USER ઘનચક્કર કે મન કી બકવાસ. 
દિમાગ ઉપર અઠોડા. @Author @user solid or mind.
At the end of the mind.",HOF
2023_test_main_tweet_20,ટોટી ચોર હરામખોર @URL,Cock thief harassed @url,ટોટી ચોર હરામખોર @URL Cock thief harassed @url,HOF
2023_test_main_tweet_21,@AUTHOR 😂😂 ગાંડુ પત્રકાર,@AUTHOR ^ 😂 Gandu journalist,@AUTHOR 😂😂 ગાંડુ પત્રકાર @AUTHOR ^ 😂 Gandu journalist,HOF
2023_test_main_tweet_22,"એક એક વાંદરો પાળી લઈએ ઘરે એમ‌ને પછી એના પગ દાબીએ તો પ્રભુ મળે ?????

હર એક વાનર હનુમાન નહીં હોતા. @URL","Take a single monkey at home and then press his feet and get the Lord ?????

Every single monkey would not be Hanuman.@Url","એક એક વાંદરો પાળી લઈએ ઘરે એમ‌ને પછી એના પગ દાબીએ તો પ્રભુ મળે ?????

હર એક વાનર હનુમાન નહીં હોતા. @URL Take a single monkey at home and then press his feet and get the Lord ?????

Every single monkey would not be Hanuman.@Url",NOT
2023_test_main_tweet_23,@AUTHOR કેટલી પંચાત 😥🙆‍♂️,@Author How Panchayat 😥🙆️,@AUTHOR કેટલી પંચાત 😥🙆‍♂️ @Author How Panchayat 😥🙆️,NOT
2023_test_main_tweet_24,@AUTHOR કારણ કે ગુજરાત ના લોકો કોઈ ની પાછળ લાઇન લગાવી ને ઉભા રહી શકે છે ચોર ચકો લફંગો ગાંડો લેભાગુ કોઈ પણ નેતાબની જશે  અને સત્યવાન અને પ્રજા હિત ધરાવતા લોકો ઘરે બેસી રહેશે એ હું નહિ દેવ શ્રી મામાઈ દેવ ની વાણી છે જે હજારો વર્ષ પહેલાં ઉટબોધન આપ્યું છે જય ભારત,@Author because the people of Gujarat can stand behind someone. Thieves will go to any leader and people with truth and people will sit at home.Jai India has given up,@AUTHOR કારણ કે ગુજરાત ના લોકો કોઈ ની પાછળ લાઇન લગાવી ને ઉભા રહી શકે છે ચોર ચકો લફંગો ગાંડો લેભાગુ કોઈ પણ નેતાબની જશે  અને સત્યવાન અને પ્રજા હિત ધરાવતા લોકો ઘરે બેસી રહેશે એ હું નહિ દેવ શ્રી મામાઈ દેવ ની વાણી છે જે હજારો વર્ષ પહેલાં ઉટબોધન આપ્યું છે જય ભારત @Author because the people of Gujarat can stand behind someone. Thieves will go to any leader and people with truth and people will sit at home.Jai India has given up,NOT
2023_test_main_tweet_25,@AUTHOR @USER આ તકતી પર પ્રણવ દલાલ અંડર બ્રિજ હોવું જોઇએ!,@Author @user Pranab Dalal should be under bridge on this plaque!,@AUTHOR @USER આ તકતી પર પ્રણવ દલાલ અંડર બ્રિજ હોવું જોઇએ! @Author @user Pranab Dalal should be under bridge on this plaque!,HOF
2023_test_main_tweet_26,@AUTHOR અંધેરી નગરી ને ગાંડુ રાજા @USER @USER @USER @USER @USER @USER @USER,@Author Andheri Nagri Ne Gandu King @user @user @user @user @user @user,@AUTHOR અંધેરી નગરી ને ગાંડુ રાજા @USER @USER @USER @USER @USER @USER @USER @Author Andheri Nagri Ne Gandu King @user @user @user @user @user @user,HOF
2023_test_main_tweet_27,@AUTHOR આ તમામ મૂર્ખ બાબાઓ પર આપણો આ વૃદ્ધ માણસ ભારે છે.  બસ નામ જ કાફી @URL,@Author this old man is heavy on all these stupid Babas.Just name Cafi @url,@AUTHOR આ તમામ મૂર્ખ બાબાઓ પર આપણો આ વૃદ્ધ માણસ ભારે છે.  બસ નામ જ કાફી @URL @Author this old man is heavy on all these stupid Babas.Just name Cafi @url,HOF
2023_test_main_tweet_28,@AUTHOR પ્યારમાં કરાવેલા રિચાર્જના પૈસા પાછા માંગવા વાળો મૂર્ખ કહેવાય. અમે તો પ્યારમાં આપેલી કોઈ ચીજ પાછી ન માંગીએ. આભાર.,@Author is a fool to ask for the recharge money made in the beloved.We do not want to return anything in the beloved.Thank you.,@AUTHOR પ્યારમાં કરાવેલા રિચાર્જના પૈસા પાછા માંગવા વાળો મૂર્ખ કહેવાય. અમે તો પ્યારમાં આપેલી કોઈ ચીજ પાછી ન માંગીએ. આભાર. @Author is a fool to ask for the recharge money made in the beloved.We do not want to return anything in the beloved.Thank you.,NOT
2023_test_main_tweet_29,@AUTHOR @USER @USER @USER @USER @USER @USER @USER બાર આવ્યો કે નહિ આ ચોર,@Author @user @user @user @user @user @user @user,@AUTHOR @USER @USER @USER @USER @USER @USER @USER બાર આવ્યો કે નહિ આ ચોર @Author @user @user @user @user @user @user @user,NOT
2023_test_main_tweet_30,@AUTHOR @USER @USER @USER @USER @USER @USER આખો લીધો દેશભક્તિ ના નામ પર મૂર્ખ,@Author @user @user @user @user @user @user,@AUTHOR @USER @USER @USER @USER @USER @USER આખો લીધો દેશભક્તિ ના નામ પર મૂર્ખ @Author @user @user @user @user @user @user,HOF
2023_test_main_tweet_31,@AUTHOR @USER હલકો,@Author @user lightweight,@AUTHOR @USER હલકો @Author @user lightweight,HOF
2023_test_main_tweet_32,"પારકી પંચાત : બાબા બાગેશ્વરનો કાર્યક્રમ કોણે કર્યો હાઈજેક? નેતા હોય કે જનતા કાયદો કરે કાયદાનું કામ!; મંથન બેઠક કરી પાટીલે નેતાઓનો જબરો ક્લાસ લઈ લીધો @URL  
Download DivyaBhaskar App : @URL   
#Gujarat | #BageshwarBaba | #ParkiPanchat @URL","Parki Panchayat: Who did the program of Baba Bageshwar hijack?Whether the leader or the public laws the law work!;Patil has taken a class of leaders by meeting @url
Download Divyabhaskar App: @url
#Gujarat |#BageWarbaba |#Parkipanchat @url","પારકી પંચાત : બાબા બાગેશ્વરનો કાર્યક્રમ કોણે કર્યો હાઈજેક? નેતા હોય કે જનતા કાયદો કરે કાયદાનું કામ!; મંથન બેઠક કરી પાટીલે નેતાઓનો જબરો ક્લાસ લઈ લીધો @URL  
Download DivyaBhaskar App : @URL   
#Gujarat | #BageshwarBaba | #ParkiPanchat @URL Parki Panchayat: Who did the program of Baba Bageshwar hijack?Whether the leader or the public laws the law work!;Patil has taken a class of leaders by meeting @url
Download Divyabhaskar App: @url
#Gujarat |#BageWarbaba |#Parkipanchat @url",NOT
2023_test_main_tweet_33,"@AUTHOR @USER આવા હલકા કેટલા છે કાય ખબર નથી પડતી
આવા હલકા વિરોધ કરવા સિવાય બીજો ધંધો જ સુ છે 
જેને બોલાવે તેને એમા તારા બાપા નું સુ જાય છે હલકા 
છાનોમાનો તારું કામ કર ને હલકા હા ત્રેવડ નથી ને સલાહ દેવા આવી ગયો છે હલકો
ભાગ હલકા ભાગ","@Author @user does not know how much is such a light
Other than to protest such light, the business is supposed to
The one who calls it goes to your father's lighthouse
Your work is not a light and no trace and is advised to be lightweight
Part light","@AUTHOR @USER આવા હલકા કેટલા છે કાય ખબર નથી પડતી
આવા હલકા વિરોધ કરવા સિવાય બીજો ધંધો જ સુ છે 
જેને બોલાવે તેને એમા તારા બાપા નું સુ જાય છે હલકા 
છાનોમાનો તારું કામ કર ને હલકા હા ત્રેવડ નથી ને સલાહ દેવા આવી ગયો છે હલકો
ભાગ હલકા ભાગ @Author @user does not know how much is such a light
Other than to protest such light, the business is supposed to
The one who calls it goes to your father's lighthouse
Your work is not a light and no trace and is advised to be lightweight
Part light",HOF
2023_test_main_tweet_34,"@AUTHOR મયંક તારા બાપ ને કહી ને આ બધા લોકોને પાસ કરાવી દે 
નવરી પનોતી કિયા થી હાલી યા આવે છે ટ્વીટર  માં કાય સમજાતું નથી
પનોતી જેટલા પરીક્ષા દિયે તેટલા બધા સ્ટુડન્ટ્સ પાસ થોડા થાય
જો એટલી જ ઉપાડી થાય છે ગુજરાતના લોકોની તો તું ને તારો બાપ ભેગા થઈ ને આ લોકોને ક્લાસ ચાલુ કરાવીને પાસ કરાવ","@Author Mayank tell your father and pass all these people
Navari Panoti Kia is coming to Kiya or Twitter does not explain
As many exams as Panoti, so many students pass
If so is the people of Gujarat, the people of Gujarat will come together and pass these people by turning the class.","@AUTHOR મયંક તારા બાપ ને કહી ને આ બધા લોકોને પાસ કરાવી દે 
નવરી પનોતી કિયા થી હાલી યા આવે છે ટ્વીટર  માં કાય સમજાતું નથી
પનોતી જેટલા પરીક્ષા દિયે તેટલા બધા સ્ટુડન્ટ્સ પાસ થોડા થાય
જો એટલી જ ઉપાડી થાય છે ગુજરાતના લોકોની તો તું ને તારો બાપ ભેગા થઈ ને આ લોકોને ક્લાસ ચાલુ કરાવીને પાસ કરાવ @Author Mayank tell your father and pass all these people
Navari Panoti Kia is coming to Kiya or Twitter does not explain
As many exams as Panoti, so many students pass
If so is the people of Gujarat, the people of Gujarat will come together and pass these people by turning the class.",NOT
2023_test_main_tweet_35,@AUTHOR માંગવા વાલો પણ ગાંડો કહેવાય ને...😜,@Author asking for mad too ...,@AUTHOR માંગવા વાલો પણ ગાંડો કહેવાય ને...😜 @Author asking for mad too ...,NOT
2023_test_main_tweet_36,બાગાભાઈ તું ગુજરાતના દરેક લોકો ને પાગલ મૂર્ખ નહીં સમજતો.. હો ભાઈ @URL,Bagabhai you will not understand all the people of Gujarat crazy .. Ho brother @url,બાગાભાઈ તું ગુજરાતના દરેક લોકો ને પાગલ મૂર્ખ નહીં સમજતો.. હો ભાઈ @URL Bagabhai you will not understand all the people of Gujarat crazy .. Ho brother @url,NOT
2023_test_main_tweet_37,"પારકી પંચાત : બાબાના ભક્તો માટે જબરો નિયમ! રૂબરૂ મળવા માટે બાગેશ્વરધામે ખાસ 'સિસ્ટમ' બનાવી; સચિવાલયમાં નેતાઓનાં કામ હાથમાં લેતા અધિકારીઓ થરથર ધ્રૂજે - @URL
Download Divya Bhaskar App : @URL
#Gujarat | #ParkiPanchat | #BageshwarBaba @URL","Paraki Panchayat: For the devotees of Baba, the rule!Bageshwar Dham created a special 'system' to meet;Officers taking the work of leaders in the secretariat - @url
Download Divya Bhaskar App: @url
#Gujarat |#Parkipanchat |#Bageshwarbaba @url","પારકી પંચાત : બાબાના ભક્તો માટે જબરો નિયમ! રૂબરૂ મળવા માટે બાગેશ્વરધામે ખાસ 'સિસ્ટમ' બનાવી; સચિવાલયમાં નેતાઓનાં કામ હાથમાં લેતા અધિકારીઓ થરથર ધ્રૂજે - @URL
Download Divya Bhaskar App : @URL
#Gujarat | #ParkiPanchat | #BageshwarBaba @URL Paraki Panchayat: For the devotees of Baba, the rule!Bageshwar Dham created a special 'system' to meet;Officers taking the work of leaders in the secretariat - @url
Download Divya Bhaskar App: @url
#Gujarat |#Parkipanchat |#Bageshwarbaba @url",NOT
2023_test_main_tweet_38,"કહેવાતા ઠગ ટોળકી પત્રકારો હજારો જાતના વિરોધ કરશે પણ જે મુખ્ય હકીકત છે, જે vision ને લઈને આ સભાઓ થાય છે એના માટે એક શબ્દ પણ નહીં ઉચ્ચારે.

જ્યારે કોઈ હિન્દુ ધર્માંતર વિશે અવાજ ઉઠાવે ત્યારે બધા હરામી એક સાથે એનો વિરોધ કરે છે. અત્યારે ગુજરામાં પણ આવા દલાલ પત્રકારો તૂટી પડ્યા છે. @URL","The so -called thug gang will oppose thousands of journalists, but the main fact, which does not even utter a word for these meetings that take place on Vision.

When a Hindu raises a voice about the conversion, all the harami opposes it together.At present, even such broker journalists have been broken in Gujra.@Url","કહેવાતા ઠગ ટોળકી પત્રકારો હજારો જાતના વિરોધ કરશે પણ જે મુખ્ય હકીકત છે, જે vision ને લઈને આ સભાઓ થાય છે એના માટે એક શબ્દ પણ નહીં ઉચ્ચારે.

જ્યારે કોઈ હિન્દુ ધર્માંતર વિશે અવાજ ઉઠાવે ત્યારે બધા હરામી એક સાથે એનો વિરોધ કરે છે. અત્યારે ગુજરામાં પણ આવા દલાલ પત્રકારો તૂટી પડ્યા છે. @URL The so -called thug gang will oppose thousands of journalists, but the main fact, which does not even utter a word for these meetings that take place on Vision.

When a Hindu raises a voice about the conversion, all the harami opposes it together.At present, even such broker journalists have been broken in Gujra.@Url",NOT
2023_test_main_tweet_39,"મારાં તે ચિત્તનો ચોર રે મારો સાંવરિયો....
#ગુજરાતી_લોકગીત @URL","My leopard thief ray my sanario ...
#Gujarati_loc song @url","મારાં તે ચિત્તનો ચોર રે મારો સાંવરિયો....
#ગુજરાતી_લોકગીત @URL My leopard thief ray my sanario ...
#Gujarati_loc song @url",HOF
2023_test_main_tweet_40,"@AUTHOR મન કી બાત સંભાળી લેવાય એક વાર, બસ તું નવરી ક્યાં થાસ આવી ચમચા ગિરિ કરવામાંથી તો ખબર હોય ને. ખરેખર મંદબુદ્ધિ તારા જેવા છે દુનિયા માં એટલે આ પપ્પુ નું હાલે છે. @URL","@Author Mann Ki Baat Once, just know where you do not have a spoon.Really retarded is like you in the world, so this is the dad.@Url","@AUTHOR મન કી બાત સંભાળી લેવાય એક વાર, બસ તું નવરી ક્યાં થાસ આવી ચમચા ગિરિ કરવામાંથી તો ખબર હોય ને. ખરેખર મંદબુદ્ધિ તારા જેવા છે દુનિયા માં એટલે આ પપ્પુ નું હાલે છે. @URL @Author Mann Ki Baat Once, just know where you do not have a spoon.Really retarded is like you in the world, so this is the dad.@Url",NOT
2023_test_main_tweet_41,@AUTHOR તમારા દ્રારા ડાયલ કરવામા આવેલ નંબરને તમારી જોડે પંચાત કરવામાં કંઈ જ રસ નથી,@Author has nothing interested in panchayat with you the number dialed by you,@AUTHOR તમારા દ્રારા ડાયલ કરવામા આવેલ નંબરને તમારી જોડે પંચાત કરવામાં કંઈ જ રસ નથી @Author has nothing interested in panchayat with you the number dialed by you,HOF
2023_test_main_tweet_42,"ધીરેન્દ્ર એ ગુજરાતની પ્રજાને પાગલ કીધી તોય એમને તાળીઓ પાડી આ મૂર્ખ પ્રજા એ. તો મેં અખંડ નંગ કીધું. એમાં હવે સામેથી હાજરી પુરાવવા આવે છે કે હા, તમે જે અખંડ નંગ કીધું એ અમે જ.  1 @URL","Direndra made the people of Gujarat mad, and locked them.So I said intact.It is now coming from the front to attend, yes, we are the unbroken nos.1 @url","ધીરેન્દ્ર એ ગુજરાતની પ્રજાને પાગલ કીધી તોય એમને તાળીઓ પાડી આ મૂર્ખ પ્રજા એ. તો મેં અખંડ નંગ કીધું. એમાં હવે સામેથી હાજરી પુરાવવા આવે છે કે હા, તમે જે અખંડ નંગ કીધું એ અમે જ.  1 @URL Direndra made the people of Gujarat mad, and locked them.So I said intact.It is now coming from the front to attend, yes, we are the unbroken nos.1 @url",HOF
