tweet_id,created_at,text,user_screen_name,label,translated,combined
guj012,2023-05-23 18:32:28+00:00,"@username ગુજરાત ની દલાલ મીડિયા પાસે એટલો પાવર છે કે જો તે ધારે તો પેપર કાંડ, દમી કાંડ, બોગસ ડિગ્રી કાંડ કરવા વારા અને સાથ દેવા વારા તમામ નાલાયક લોકોને સજા કરવી સકે 
પણ આ ગુજરાતની દલાલ મીડિયા દલાલી કરવાનું બંધ કરે તો આવું થાય",sureshn25559831,NOT,"@username Gujarat's broker media has so much power that if it assumes the paper scandal, a dumble scandal, bogus degree, and to punish all the worthless people.
But this would happen if this Gujarat broker stops the brokerage","@username ગુજરાત ની દલાલ મીડિયા પાસે એટલો પાવર છે કે જો તે ધારે તો પેપર કાંડ, દમી કાંડ, બોગસ ડિગ્રી કાંડ કરવા વારા અને સાથ દેવા વારા તમામ નાલાયક લોકોને સજા કરવી સકે 
પણ આ ગુજરાતની દલાલ મીડિયા દલાલી કરવાનું બંધ કરે તો આવું થાય @username Gujarat's broker media has so much power that if it assumes the paper scandal, a dumble scandal, bogus degree, and to punish all the worthless people.
But this would happen if this Gujarat broker stops the brokerage"
guj013,2023-05-19 06:46:15+00:00,"@username @username આ હું તો બોલીશ વાળા રોનક પટેલ રાત્રે ૮ વાગ્યે ભાજપના પ્રવકતા વિરુદ્ધ બૂમબરાડા પાડે છે. 
કાર્યક્રમ પુરો થયો નાથી કે તુરંત બહાર જઈ, આ જ ભાજપના પ્રવકતા સાથે ચાય ની ચૂસ્કી મારે છે.

આ દલાલ,લોકોને મૂર્ખ બનાવવાનો ધંધો કરે છે....",Amru1967,NOT,"@username @username.
The program is not completed or went out immediately, this same BJP spokesman sucks tea.

These brokers are the business of fooling people ....","@username @username આ હું તો બોલીશ વાળા રોનક પટેલ રાત્રે ૮ વાગ્યે ભાજપના પ્રવકતા વિરુદ્ધ બૂમબરાડા પાડે છે. 
કાર્યક્રમ પુરો થયો નાથી કે તુરંત બહાર જઈ, આ જ ભાજપના પ્રવકતા સાથે ચાય ની ચૂસ્કી મારે છે.

આ દલાલ,લોકોને મૂર્ખ બનાવવાનો ધંધો કરે છે.... @username @username.
The program is not completed or went out immediately, this same BJP spokesman sucks tea.

These brokers are the business of fooling people ...."
guj014,2023-05-22 15:22:12+00:00,"@username સાહેબ આ @username 
@username ને એ હદે નફરત કરે છે કે કોઈ  @username નો કાળો ચોર પણ સંડાસ જતો ફોટો પોસ્ટ કરે તો આ ભાઈ તેના પણ ગુણ ગાન કરવા લાગે!
અને ખુલ્લા માં સંડાસ જવાના, સ્વચ્છતા નાં,
સહજતા નાં,
ના સાંભળ્યા તેવા તર્ક આપશે અને ભક્તોને અનુકરણ કરવા જણાવશે!
પણ પોતે નહીં કરે!",DhirendrasinghU,HOF,"@username sir this @username
The @username hates to the extent that if a black thief of @username posts a photo of the sandus, this brother starts to sing his marks too!
And in the open, the cleanliness, of the sanitation,
Sahajata,
It will give the logic and tell the devotees to imitate!
But don't do it yourself!","@username સાહેબ આ @username 
@username ને એ હદે નફરત કરે છે કે કોઈ  @username નો કાળો ચોર પણ સંડાસ જતો ફોટો પોસ્ટ કરે તો આ ભાઈ તેના પણ ગુણ ગાન કરવા લાગે!
અને ખુલ્લા માં સંડાસ જવાના, સ્વચ્છતા નાં,
સહજતા નાં,
ના સાંભળ્યા તેવા તર્ક આપશે અને ભક્તોને અનુકરણ કરવા જણાવશે!
પણ પોતે નહીં કરે! @username sir this @username
The @username hates to the extent that if a black thief of @username posts a photo of the sandus, this brother starts to sing his marks too!
And in the open, the cleanliness, of the sanitation,
Sahajata,
It will give the logic and tell the devotees to imitate!
But don't do it yourself!"
guj015,2023-05-24 07:03:09+00:00,"ગુજરાત માં ભરૂચ જિલ્લામાં આવેલો જંબુસર તાલુકામાં
નગરપાલિકા ના કર્મચારીઓ કામ ચોર છે સીધાં જવાબ આપતા નથી નવાં છે એ પૈસા માંરી ખાવામાં છે યંગર પર્ષન",PinalPa10542589,NOT,"In Jambusar taluka in Bharuch district in Gujarat
Municipal employees are working thieves do not answer directly.","ગુજરાત માં ભરૂચ જિલ્લામાં આવેલો જંબુસર તાલુકામાં
નગરપાલિકા ના કર્મચારીઓ કામ ચોર છે સીધાં જવાબ આપતા નથી નવાં છે એ પૈસા માંરી ખાવામાં છે યંગર પર્ષન In Jambusar taluka in Bharuch district in Gujarat
Municipal employees are working thieves do not answer directly."
guj016,2023-05-27 16:36:33+00:00,"@username મયંક તારા બાપ ને કહી ને આ બધા લોકોને પાસ કરાવી દે 
નવરી પનોતી કિયા થી હાલી યા આવે છે ટ્વીટર  માં કાય સમજાતું નથી
પનોતી જેટલા પરીક્ષા દિયે તેટલા બધા સ્ટુડન્ટ્સ પાસ થોડા થાય
જો એટલી જ ઉપાડી થાય છે ગુજરાતના લોકોની તો તું ને તારો બાપ ભેગા થઈ ને આ લોકોને ક્લાસ ચાલુ કરાવીને પાસ કરાવ",sureshn25559831,NOT,"@username Mayank tell your father and pass all these people
Navari Panoti Kia is coming to Kiya or Twitter does not explain
As many exams as Panoti, so many students pass
If so is the people of Gujarat, the people of Gujarat will come together and pass these people by turning the class.","@username મયંક તારા બાપ ને કહી ને આ બધા લોકોને પાસ કરાવી દે 
નવરી પનોતી કિયા થી હાલી યા આવે છે ટ્વીટર  માં કાય સમજાતું નથી
પનોતી જેટલા પરીક્ષા દિયે તેટલા બધા સ્ટુડન્ટ્સ પાસ થોડા થાય
જો એટલી જ ઉપાડી થાય છે ગુજરાતના લોકોની તો તું ને તારો બાપ ભેગા થઈ ને આ લોકોને ક્લાસ ચાલુ કરાવીને પાસ કરાવ @username Mayank tell your father and pass all these people
Navari Panoti Kia is coming to Kiya or Twitter does not explain
As many exams as Panoti, so many students pass
If so is the people of Gujarat, the people of Gujarat will come together and pass these people by turning the class."
guj017,2023-05-19 00:04:55+00:00,@username @username તું ચોર છે લૂખા,Mgadhiya2,HOF,@username @username You are a thief,@username @username તું ચોર છે લૂખા @username @username You are a thief
guj018,2023-05-25 17:15:31+00:00,"@username @username તારી પાસે ઓસ્ટ્રેલિયા ના ઑફિસિયલ ન્યુઝ છે ? જો સાચો વિરોધી હોય મોદી જી નો તો ઓસ્ટ્રેલિયન સરકાર ના ઓફિશિયલ ન્યુઝ બતાવ. 

ટોપા આવી જ જાય હંગ્યા વગર મોદી જી નો વિરોધ કરવા જોયા ને જાણ્યા વગર.",chattansinh,NOT,"@username @username do you have the official news of Australia?If Modi is a true opponent, show the official news of the Australian government.

Topa would come without knowing that Modi was opposed to the ji without knowing.","@username @username તારી પાસે ઓસ્ટ્રેલિયા ના ઑફિસિયલ ન્યુઝ છે ? જો સાચો વિરોધી હોય મોદી જી નો તો ઓસ્ટ્રેલિયન સરકાર ના ઓફિશિયલ ન્યુઝ બતાવ. 

ટોપા આવી જ જાય હંગ્યા વગર મોદી જી નો વિરોધ કરવા જોયા ને જાણ્યા વગર. @username @username do you have the official news of Australia?If Modi is a true opponent, show the official news of the Australian government.

Topa would come without knowing that Modi was opposed to the ji without knowing."
guj019,2023-05-28 03:32:32+00:00,@username @username @username @username લન્ડ મારો ફોલો કરવા આખી દુનિયા કરે છે લોડા એ પૈસા દઈને કરાવે છે એ પણ તારી જેમ નપુંસનક છે લોડા,PaunMahesh,HOF,@username @username @username @username Lund does the whole world to follow my Loda.,@username @username @username @username લન્ડ મારો ફોલો કરવા આખી દુનિયા કરે છે લોડા એ પૈસા દઈને કરાવે છે એ પણ તારી જેમ નપુંસનક છે લોડા @username @username @username @username Lund does the whole world to follow my Loda.
guj020,2023-05-20 08:04:04+00:00,"@username ગુજરાતી માં લખ ને ટોપા, હિન્દી માં લખી ને ક્યાં જાવું તારે.",louv_day,HOF,"@username write in Gujarati and write in Topa, Hindi and where to go.","@username ગુજરાતી માં લખ ને ટોપા, હિન્દી માં લખી ને ક્યાં જાવું તારે. @username write in Gujarati and write in Topa, Hindi and where to go."
guj021,2023-05-26 11:26:31+00:00,"@username મૂર્ખ ભર્યો સવાલ ...
આવો પોલ થવો જ ના જોઈએ
ભારત દેશ ના પહેલા નાગરિક તરીકે સંવિધાન ના સર્વોચ પદ પર બિરાજમાન ..
🇮🇳 ત્રણ પાંખ ના સેનાનાવડા...
માહામહિમ હસ્તે થવો જવો ,એમા આટલો બધો હંગામો શા માટે..⁉️😇
સંસદ= લોકસભા + રાજ્યસભા+ રાષ્ટ્રપતિ
#संसद_भवन",VipulPatel3002,NOT,"@username stupid question ...
Such a pole must not be done
India is the first citizen of the country as the first citizen of the Constitution ..
🇮🇳 The army of three wings ...
Going to the hands of Mahamahim, why so much riots?
Parliament = Lok Sabha + Rajya Sabha + President
#","@username મૂર્ખ ભર્યો સવાલ ...
આવો પોલ થવો જ ના જોઈએ
ભારત દેશ ના પહેલા નાગરિક તરીકે સંવિધાન ના સર્વોચ પદ પર બિરાજમાન ..
🇮🇳 ત્રણ પાંખ ના સેનાનાવડા...
માહામહિમ હસ્તે થવો જવો ,એમા આટલો બધો હંગામો શા માટે..⁉️😇
સંસદ= લોકસભા + રાજ્યસભા+ રાષ્ટ્રપતિ
#संसद_भवन @username stupid question ...
Such a pole must not be done
India is the first citizen of the country as the first citizen of the Constitution ..
🇮🇳 The army of three wings ...
Going to the hands of Mahamahim, why so much riots?
Parliament = Lok Sabha + Rajya Sabha + President
#"
guj022,2023-05-26 06:40:06+00:00,"દેવડી એ દંડ પામે ચોર મૂઠી ઝારના

લાખ હૂંડી લૂંટનારા મહેફિલે મંડાય છે,

😌 @url",PrajapatiHaree,HOF,"Devi is a fine thief

Lakhs of robbery

😌 @url","દેવડી એ દંડ પામે ચોર મૂઠી ઝારના

લાખ હૂંડી લૂંટનારા મહેફિલે મંડાય છે,

😌 @url Devi is a fine thief

Lakhs of robbery

😌 @url"
guj023,2023-05-20 05:40:08+00:00,@username ઇમા રેલવે ના  પાટા પર જઈને પંચાત કરવાની ક્યાં જરૂર હતી?😂😂,DhavalS16030050,NOT,Where did the @username go to the railway tracks and panchayat?,@username ઇમા રેલવે ના  પાટા પર જઈને પંચાત કરવાની ક્યાં જરૂર હતી?😂😂 Where did the @username go to the railway tracks and panchayat?
guj024,2023-05-26 15:07:14+00:00,"@username મોદી ની રેલી નથી, બેવકૂફ ની ભીડ છે",RajatThakor1278,HOF,"@username is not a rally of Modi, there is a crowd of idiots","@username મોદી ની રેલી નથી, બેવકૂફ ની ભીડ છે @username is not a rally of Modi, there is a crowd of idiots"
guj025,2023-05-20 02:50:53+00:00,@username ચોર નેતાઓ કરતા તો લાખ ગરજે સારા સારા અને સારા,Ambaris2131,HOF,@username is a good and better than a thief leaders,@username ચોર નેતાઓ કરતા તો લાખ ગરજે સારા સારા અને સારા @username is a good and better than a thief leaders
guj026,2023-03-26 06:56:30+00:00,"ગુજરાત પોલીસ સ્ટેડિયમમાં ચાના કપ પર લખેલું છે, હું પણ ચોકીદાર છું, આ આખો વહીવટ સરમુખત્યારશાહીના ઈશારે ચાલે છે, હવે આખો દેશ જાણી ગયો છે કે #ચોકીદાર_ચોર_છે!

@username 
#GujaratCongress @url",Chandanjit11,HOF,"The Gujarat Police Stadium is written on a cup of tea, I am also a watchman, this whole administration is under the auspices of the dictatorship, now the whole country has known that #watchman_ Chair_!

@username
#Gujaratcongress @url","ગુજરાત પોલીસ સ્ટેડિયમમાં ચાના કપ પર લખેલું છે, હું પણ ચોકીદાર છું, આ આખો વહીવટ સરમુખત્યારશાહીના ઈશારે ચાલે છે, હવે આખો દેશ જાણી ગયો છે કે #ચોકીદાર_ચોર_છે!

@username 
#GujaratCongress @url The Gujarat Police Stadium is written on a cup of tea, I am also a watchman, this whole administration is under the auspices of the dictatorship, now the whole country has known that #watchman_ Chair_!

@username
#Gujaratcongress @url"
guj027,2023-05-20 01:43:42+00:00,@username ઢોંગી બાબા માઈન્ડ રીડિંગ નો ઉપયોગ કરી લોકો ને બેવકૂફ બનાવે છે,AshokCh25905849,HOF,@username is fooling people using hypocritical Baba Mind Reading,@username ઢોંગી બાબા માઈન્ડ રીડિંગ નો ઉપયોગ કરી લોકો ને બેવકૂફ બનાવે છે @username is fooling people using hypocritical Baba Mind Reading
guj028,2023-05-22 08:29:03+00:00,"@username @username @username ......કોણ ટ્વીટર વાપરશે , ને કોણ નય,એની પંચાત તમુ મેલી દ્યોને ભા. આ બાબો નિરાલો અનંતકાળ હુધી અમારી પાહે પેલાવાનો છે.",Acpittalwala,HOF,"@username @username @username ...... Who will use Twitter, and who is new, his panchayat tamu meli dao.These Babo Niralo is the eternal time of us.","@username @username @username ......કોણ ટ્વીટર વાપરશે , ને કોણ નય,એની પંચાત તમુ મેલી દ્યોને ભા. આ બાબો નિરાલો અનંતકાળ હુધી અમારી પાહે પેલાવાનો છે. @username @username @username ...... Who will use Twitter, and who is new, his panchayat tamu meli dao.These Babo Niralo is the eternal time of us."
guj029,2023-05-22 09:15:58+00:00,@username @username કોઈ વાત ની ખબર જ નથી તો કેમ પંચાત કરો છો.. પેહલા જાણી લો..પછી આવો બચાવ કરવા..,CHIRAGPARMAR82,NOT,"@username @username if you do not know anything, why do you do panchayat .. first know it.","@username @username કોઈ વાત ની ખબર જ નથી તો કેમ પંચાત કરો છો.. પેહલા જાણી લો..પછી આવો બચાવ કરવા.. @username @username if you do not know anything, why do you do panchayat .. first know it."
guj030,2023-03-26 08:15:39+00:00,"જમનાપ્રસાદ, એક કંગાળ, તેના પિતાની ઇચ્છા પૂરી કરીને, તેના માતાપિતાને સફળતાપૂર્વક તીર્થયાત્રા પર મોકલે છે. પરંતુ જ્યારે કુદરતી આફતને કારણે પરિવારના સભ્યો સંપર્ક ગુમાવે છે ત્યારે શું થાય છે?
ટ્રેલર ચાલુ જુઓ #TrailerBabu
#KanjoosMakhichoos #KunalKemmu #ZEE5Original #newtrailer",mrshivam_9,NOT,"Jamnaprasad, a poor, fulfills his father's will, successfully sends his parents on a pilgrimage.But what happens when family members lose contact due to natural disaster?
See the trailer continuing #trailerbabu
#Kanjoosmakhichoos #kunalkemmu #zee5original #newtrailer","જમનાપ્રસાદ, એક કંગાળ, તેના પિતાની ઇચ્છા પૂરી કરીને, તેના માતાપિતાને સફળતાપૂર્વક તીર્થયાત્રા પર મોકલે છે. પરંતુ જ્યારે કુદરતી આફતને કારણે પરિવારના સભ્યો સંપર્ક ગુમાવે છે ત્યારે શું થાય છે?
ટ્રેલર ચાલુ જુઓ #TrailerBabu
#KanjoosMakhichoos #KunalKemmu #ZEE5Original #newtrailer Jamnaprasad, a poor, fulfills his father's will, successfully sends his parents on a pilgrimage.But what happens when family members lose contact due to natural disaster?
See the trailer continuing #trailerbabu
#Kanjoosmakhichoos #kunalkemmu #zee5original #newtrailer"
guj031,2023-05-22 18:10:03+00:00,@username @username તમારૂં કહેવાનું  બરાબર છે પણ ગુજરાત રાજ્ય સરકાર ભૂમાફિયા સાથે છે  અમે  કોઈ પણ રાજનીતિક પાર્ટી ગુલામ નહિ અમે અમારી મૂળ ખેતી ની જમીન માટે જે લડાઈ લડી રહ્યા છે રાજ્યસરકાર ભૂમાફિયા ની પાર્ટી છે એટલે કેન્દ્રસરકાર એટલે નરેન્દ્ર મોદી જી જાણ કરવી પડે છે ગુજરાત રાજ્યસરકાર ચોર છે,Ravindr67822142,HOF,@username @username is right to say but Gujarat State Government is with Bhumafia. We are not a political party slave. We are fighting for our original farm land.The state government is a thief,@username @username તમારૂં કહેવાનું  બરાબર છે પણ ગુજરાત રાજ્ય સરકાર ભૂમાફિયા સાથે છે  અમે  કોઈ પણ રાજનીતિક પાર્ટી ગુલામ નહિ અમે અમારી મૂળ ખેતી ની જમીન માટે જે લડાઈ લડી રહ્યા છે રાજ્યસરકાર ભૂમાફિયા ની પાર્ટી છે એટલે કેન્દ્રસરકાર એટલે નરેન્દ્ર મોદી જી જાણ કરવી પડે છે ગુજરાત રાજ્યસરકાર ચોર છે @username @username is right to say but Gujarat State Government is with Bhumafia. We are not a political party slave. We are fighting for our original farm land.The state government is a thief
guj032,2023-05-24 10:04:59+00:00,@username @username @username ગુજરાત માં લોકો ની સુવિધા વધવા ને બદલે ઘટી રહી છે ભાજપ ના રાજ માં..સુરત થી અંક્લેશ્વર આવવા માટે સવારે 5:30 ની ગુજરાત ક્વીન પછી સીધી 8:30 વલસાડ ઇન્ટરસિટી વચ્ચે કોઈ ટ્રેન છે જ નહિ ..આવો સાવ ગાંડો વિકાસ ગુજરાત ની જનતા નો છે.ડૂબી મારવા જેવી હાલત. @url,Jitendra1682,HOF,@username @username @username is falling in Gujarat instead of increasing the convenience of people in the BJP's rule.Such a crazy development is the people of Gujarat.@url,@username @username @username ગુજરાત માં લોકો ની સુવિધા વધવા ને બદલે ઘટી રહી છે ભાજપ ના રાજ માં..સુરત થી અંક્લેશ્વર આવવા માટે સવારે 5:30 ની ગુજરાત ક્વીન પછી સીધી 8:30 વલસાડ ઇન્ટરસિટી વચ્ચે કોઈ ટ્રેન છે જ નહિ ..આવો સાવ ગાંડો વિકાસ ગુજરાત ની જનતા નો છે.ડૂબી મારવા જેવી હાલત. @url @username @username @username is falling in Gujarat instead of increasing the convenience of people in the BJP's rule.Such a crazy development is the people of Gujarat.@url
guj033,2023-03-25 15:44:10+00:00,@username બધાય મોદી ચોર છે.... એવું આમાં સ્પષ્ટ દેખાય છે.....,Yogiraajpatel,HOF,@username is all Modi thief .... it is clear in this .....,@username બધાય મોદી ચોર છે.... એવું આમાં સ્પષ્ટ દેખાય છે..... @username is all Modi thief .... it is clear in this .....
guj034,2023-05-23 13:24:57+00:00,@username @username @username @username @username @username @username @username @username @username @username મૂર્ખ તો તારા જેવા ❤️ ડા છે 🤣🤣,Jalebi_261190,HOF,@username @username @username @username @username @username @username @username @username @username fool,@username @username @username @username @username @username @username @username @username @username @username મૂર્ખ તો તારા જેવા ❤️ ડા છે 🤣🤣 @username @username @username @username @username @username @username @username @username @username fool
guj035,2023-05-26 10:43:31+00:00,"Title  :- કાનુડા ને કેજો એક વાર ગોકુળીયા માં આવે 
 Singer :  શૈલેષ મહારાજ 
Place  : લાંબા બંદર [ દ્વારકા ]  

@url 

🌺આપણી  આ 2 ચેનલને સબ્સ્ક્રાઇબ કરો / લાઇક કરો /શેર કરો 👍  @url @url @url",Ramdas_Gondalia,NOT,"Title:- Kanunda and Cajja come to Gokulia once
 Singer: Shailesh Maharaj
Place: Long port [Dwarka]

@url

🌺 Subscribe to this 2 channel / Like / Share @url @url","Title  :- કાનુડા ને કેજો એક વાર ગોકુળીયા માં આવે 
 Singer :  શૈલેષ મહારાજ 
Place  : લાંબા બંદર [ દ્વારકા ]  

@url 

🌺આપણી  આ 2 ચેનલને સબ્સ્ક્રાઇબ કરો / લાઇક કરો /શેર કરો 👍  @url @url @url Title:- Kanunda and Cajja come to Gokulia once
 Singer: Shailesh Maharaj
Place: Long port [Dwarka]

@url

🌺 Subscribe to this 2 channel / Like / Share @url @url"
