post_id,text,translated,combined,predicted_label
task1a_test_11,අද ඔයාගේ දවස  @USER  ඩාලින්  #MiaSanMia #Wallabies,Today's your day @user Dalin #masanmia #wallabies,අද ඔයාගේ දවස  @USER  ඩාලින්  #MiaSanMia #Wallabies Today's your day @user Dalin #masanmia #wallabies,NOT
task1a_test_12,ගම්පහ ගම්පහ කියලා වැලලෙන්න එපා යකෝ.....  ඌ මීගමුවේ...  #මොන_හුක්,Do not bury Gampaha in Gampaha ... # ',ගම්පහ ගම්පහ කියලා වැලලෙන්න එපා යකෝ.....  ඌ මීගමුවේ...  #මොන_හුක් Do not bury Gampaha in Gampaha ... # ',NOT
task1a_test_13,ෆේස්බුක් වෝල් එකේ එක එකාට කඩේ යන්නෑ උන් කියන කියන පලියට.  ගොනා වික්කා.,"In Facebook Wall, you don't go to the shop.The bull wikk.","ෆේස්බුක් වෝල් එකේ එක එකාට කඩේ යන්නෑ උන් කියන කියන පලියට.  ගොනා වික්කා. In Facebook Wall, you don't go to the shop.The bull wikk.",HOF
task1a_test_14,@USER ලංකාවෙ කෙහෙල් කොට දෙකක් පාලනය කරන්නෙ...පොලිසියත් නිදි..එකෙක් දෙන්නෙක් මැරැනහම හෙලා දකිනවා.රජයෙ වියදමෙන් කරලා සේප් කරනවා.,"@Ser, two Kehel in Sri Lanka and the police are sleeping.","@USER ලංකාවෙ කෙහෙල් කොට දෙකක් පාලනය කරන්නෙ...පොලිසියත් නිදි..එකෙක් දෙන්නෙක් මැරැනහම හෙලා දකිනවා.රජයෙ වියදමෙන් කරලා සේප් කරනවා. @Ser, two Kehel in Sri Lanka and the police are sleeping.",NOT
task1a_test_15,@USER මැරිය තෝ.. ඇයි යකෝ ඔහොම අපරාධයක් කර ගත්තේ,@Ser Maitari How did you commit a crime?,@USER මැරිය තෝ.. ඇයි යකෝ ඔහොම අපරාධයක් කර ගත්තේ @Ser Maitari How did you commit a crime?,HOF
task1a_test_16,දම් රැජිනට ආවඩලා කවි කියලා FB එකේ පෝස්ට් දාලා අනිත් පැත්තට සිරිසේනට පිස්සා කියලා තවත් පෝස්ට් එකක් දානවා...,Sir on the FB posts to the Queen of the FB to the other side of the FB.,දම් රැජිනට ආවඩලා කවි කියලා FB එකේ පෝස්ට් දාලා අනිත් පැත්තට සිරිසේනට පිස්සා කියලා තවත් පෝස්ට් එකක් දානවා... Sir on the FB posts to the Queen of the FB to the other side of the FB.,NOT
task1a_test_17,@USER අඩෝ මට කිචි.. කකුල් ලෙවක්ස්නවනම් නොර් darling ඩාලින්...,@User Advo I'm kachi.,@USER අඩෝ මට කිචි.. කකුල් ලෙවක්ස්නවනම් නොර් darling ඩාලින්... @User Advo I'm kachi.,NOT
task1a_test_18,@USER ඔච්චර ආසද? ඔවා මල්ලි අනිත් දවසෙ පයිය කපන් යයිද මන්දා.,So much like @ser?And the galley will cut the other day.,@USER ඔච්චර ආසද? ඔවා මල්ලි අනිත් දවසෙ පයිය කපන් යයිද මන්දා. So much like @ser?And the galley will cut the other day.,HOF
task1a_test_19,lanka C news | ලංකා සී නිවුස් | මේ පිස්සු බල්ලා බැද දමනු.. මාධ්‍යවේදීන් මරන්න එන ජෝන්ට සැර ප‍්‍රහාරයක්.. URL,lanka c News |Lanka C News |This crazy dog is tied up .. Joan attack on journalists,lanka C news | ලංකා සී නිවුස් | මේ පිස්සු බල්ලා බැද දමනු.. මාධ්‍යවේදීන් මරන්න එන ජෝන්ට සැර ප‍්‍රහාරයක්.. URL lanka c News |Lanka C News |This crazy dog is tied up .. Joan attack on journalists,NOT
task1a_test_20,#දිගමනිනඅක්ක මල්ලි අගල් 4 වැඩිය දිග ද.. නැහැ . මැරියං තෝ   She                   / \_ ━━━━━┓ ＼＼  ┓┓┓┓┓┃  ┓┓┓┓┓┃  ┓┓┓┓┓┃          ┓┓┓┓┓┃       ヽノ ┓┓┓┓┓┃ 　       / ┓┓┓┓┓┃        ノ)  ┓┓┓┓┓┃,# Length lepCrashing Tho She / \ \ \ \ ┓┓┓┓┓┃ ┓┓┓┓┓┃ ┓┓┓┓┓┃ / ┓┓┓┓ ヽノ ヽノ┓┃ ノ) ┓┓┓┓┓┃,#දිගමනිනඅක්ක මල්ලි අගල් 4 වැඩිය දිග ද.. නැහැ . මැරියං තෝ   She                   / \_ ━━━━━┓ ＼＼  ┓┓┓┓┓┃  ┓┓┓┓┓┃  ┓┓┓┓┓┃          ┓┓┓┓┓┃       ヽノ ┓┓┓┓┓┃ 　       / ┓┓┓┓┓┃        ノ)  ┓┓┓┓┓┃ # Length lepCrashing Tho She / \ \ \ \ ┓┓┓┓┓┃ ┓┓┓┓┓┃ ┓┓┓┓┓┃ / ┓┓┓┓ ヽノ ヽノ┓┃ ノ) ┓┓┓┓┓┃,NOT
task1a_test_21,"සික් ආතල් 1 ගන්න galleface ගියා.මොන කොල්ලො කෙල්ලෝ අත් අල්ලං ඉන්නවයි,කානිවල් 1,තඩි නත්තල් ගහයි විතරයි. ගිය පාර එහෙමද? Wayo with SLT","Getting the Sikh, Galface. Galeface, who had girls, staying with the girls, only Carnival 1, Paddy Christmas.Last road?WAYO WITH SLT","සික් ආතල් 1 ගන්න galleface ගියා.මොන කොල්ලො කෙල්ලෝ අත් අල්ලං ඉන්නවයි,කානිවල් 1,තඩි නත්තල් ගහයි විතරයි. ගිය පාර එහෙමද? Wayo with SLT Getting the Sikh, Galface. Galeface, who had girls, staying with the girls, only Carnival 1, Paddy Christmas.Last road?WAYO WITH SLT",NOT
task1a_test_22,@USER  @USER  ලබ්බ තමයි. නටෙලා කියල කියන්නේ,@Ser @user Labbies.Natta is,@USER  @USER  ලබ්බ තමයි. නටෙලා කියල කියන්නේ @Ser @user Labbies.Natta is,HOF
task1a_test_23,@USER  @USER Omg yes! අදත් මගේ ඉස්සරහ හිටපු ගොන් හරකා ඒ වැඩේ කරා!,"@Ser @ser omg Yes!Today, my former bulls came to work!","@USER  @USER Omg yes! අදත් මගේ ඉස්සරහ හිටපු ගොන් හරකා ඒ වැඩේ කරා! @Ser @ser omg Yes!Today, my former bulls came to work!",HOF
task1a_test_24,@USER හෙණ ගහන්නෑනේ තොපි හැමෝටම එක පාර.,@Ser holding you all the road to everyone.,@USER හෙණ ගහන්නෑනේ තොපි හැමෝටම එක පාර. @Ser holding you all the road to everyone.,HOF
task1a_test_25,"මතුපිටින් මෝඩ වැඩක් වගේ පෙනෙන සමහර දේවල් ඇතුලාන්තයෙන් අපිට ඉතාම ප්‍රයෝජනයක් ගෙනල්ලා දෙන ක්‍රියාවක් වෙන්න පුළුවන්.  ඒක නිසා කවුරු හිනා උනත්, මෝඩ වැඩක් කියලා කිව්වත්, ඒ කරන දෙයින් හොඳක් වෙනවා නම් ඒ ගැන විතරක් හිතන්න.","Some of the things that look like stupid things may be an action that will benefit us.If you say that anyone says that anyone says, but it is better to think about it.","මතුපිටින් මෝඩ වැඩක් වගේ පෙනෙන සමහර දේවල් ඇතුලාන්තයෙන් අපිට ඉතාම ප්‍රයෝජනයක් ගෙනල්ලා දෙන ක්‍රියාවක් වෙන්න පුළුවන්.  ඒක නිසා කවුරු හිනා උනත්, මෝඩ වැඩක් කියලා කිව්වත්, ඒ කරන දෙයින් හොඳක් වෙනවා නම් ඒ ගැන විතරක් හිතන්න. Some of the things that look like stupid things may be an action that will benefit us.If you say that anyone says that anyone says, but it is better to think about it.",NOT
task1a_test_26,@USER Verified හින්දා ගන්න අමාරු වෙන එකක් නෑ,@Suer lyified is not hard to take,@USER Verified හින්දා ගන්න අමාරු වෙන එකක් නෑ @Suer lyified is not hard to take,NOT
task1a_test_27,ලංකාවෙ මිනිහ දාලා ගිය ගැනී වෙන කිසි දෙයක් කර ගත නොහැකිව ගනිකාවක් වූ විට ඇය පට්ට ගොන් බඩුවක් වන අතර   ලෝකයේ... URL,"When the man is not able to leave in Sri Lanka, she is a bull when she is a villai, and the world ... URL","ලංකාවෙ මිනිහ දාලා ගිය ගැනී වෙන කිසි දෙයක් කර ගත නොහැකිව ගනිකාවක් වූ විට ඇය පට්ට ගොන් බඩුවක් වන අතර   ලෝකයේ... URL When the man is not able to leave in Sri Lanka, she is a bull when she is a villai, and the world ... URL",NOT
task1a_test_28,@USER  @USER තෝ කොහෙන්ද පාත් වුනේ,@Ser @user thor,@USER  @USER තෝ කොහෙන්ද පාත් වුනේ @Ser @user thor,NOT
task1a_test_29,@USER Vaccine එක ගහගෙන කෙලින්ම උද්ඝෝෂණයට යන්න පුලුවන්.,@Suer Vaccine can go directly protest.,@USER Vaccine එක ගහගෙන කෙලින්ම උද්ඝෝෂණයට යන්න පුලුවන්. @Suer Vaccine can go directly protest.,NOT
task1a_test_30,@USER තමුසෙ අවුරුඩු 25 වෙද්දි porn star කෙනෙක් වෙයි වගේ   @USER  @USER  @USER  @USER,@USer As a Porn Star when 25 years old @user @user @user,@USER තමුසෙ අවුරුඩු 25 වෙද්දි porn star කෙනෙක් වෙයි වගේ   @USER  @USER  @USER  @USER @USer As a Porn Star when 25 years old @user @user @user,NOT
task1a_test_31,ගොනා මැරුනු තිරික්කලයක් වහාම අවශ්‍යයි,A bull-dead tempo,ගොනා මැරුනු තිරික්කලයක් වහාම අවශ්‍යයි A bull-dead tempo,NOT
task1a_test_32,උදේට පට්ට සීතලයි දවල්ට පට්ට රස්නෙයි මොන ජීවිතද බං මේවා,The life is cold cold in the morning,උදේට පට්ට සීතලයි දවල්ට පට්ට රස්නෙයි මොන ජීවිතද බං මේවා The life is cold cold in the morning,NOT
task1a_test_33,ආදරය කියපු කටින් නෑ සාප කරන්නේ කවදාවත්.. නෑ තරහක් මට මොනවා කරත් ආදරෙයි එදා වගේම අදත්,He never cursed love.,ආදරය කියපු කටින් නෑ සාප කරන්නේ කවදාවත්.. නෑ තරහක් මට මොනවා කරත් ආදරෙයි එදා වගේම අදත් He never cursed love.,NOT
task1a_test_34,මේකේ ඉඳන් කැම්පස් ටෝක් දාන උන් යාන්තම් සා.පෙ පාස් හුජ්ජ කෙල්ලො කොල්ලොනේ,They're sighting to the Campus Talk to Koke,මේකේ ඉඳන් කැම්පස් ටෝක් දාන උන් යාන්තම් සා.පෙ පාස් හුජ්ජ කෙල්ලො කොල්ලොනේ They're sighting to the Campus Talk to Koke,HOF
task1a_test_35,@USER ඈ ගෑනියෙ තොට මැසේජ් එකක් දැම්ම ඕන කියල එකක්...කෝ රෙද්ද ආන්සෙර් එකක් නෑ,@Ser ... Cok cloth is not a message of Acezure,@USER ඈ ගෑනියෙ තොට මැසේජ් එකක් දැම්ම ඕන කියල එකක්...කෝ රෙද්ද ආන්සෙර් එකක් නෑ @Ser ... Cok cloth is not a message of Acezure,HOF
task1a_test_36,මෙහෙ උන් neo-nazi සැට් වලටත් සප් එක දෙනවා කියාන්කො උන් එක්කො හිට්ලර් ආර්ය ජාතියක් හදන්න ගිය හැටි දන් නෑ නැත්තන් උන්ට පිස්සු,"Here they will give Neo-Nazi Sat, they were not able to make a Hitler race, if they did not know how to make a nation","මෙහෙ උන් neo-nazi සැට් වලටත් සප් එක දෙනවා කියාන්කො උන් එක්කො හිට්ලර් ආර්ය ජාතියක් හදන්න ගිය හැටි දන් නෑ නැත්තන් උන්ට පිස්සු Here they will give Neo-Nazi Sat, they were not able to make a Hitler race, if they did not know how to make a nation",NOT
task1a_test_37,සිතුල්පව්වේ පාරේ වල් ඌරෝ ඉන්නවද අම්බානෙක,Is the wild pigs in the road on the Sithuluvu road,සිතුල්පව්වේ පාරේ වල් ඌරෝ ඉන්නවද අම්බානෙක Is the wild pigs in the road on the Sithuluvu road,NOT
task1a_test_38,"රටේ සිටින සුලු ජාතින් විසින් මුලුමහත් ජනතාවම මලගෙයක් කලා. උදේට කන්න ගියපු මිනිසුන්, දෙවියන් යැදීමට ගිය අහිංසක මිනිසුන් අමු අමුවේ මරන්න තරම් ඒ සක්කිලි ජාතිය රටටම මහා සාපයක්. #SriLankaAttack #SriLanka #lka සමාජෙට පේන්න දුක් සෝකප්‍රකාශ කරන ගමන් පල්ලිය ඇතුලෙ ජාතිය මරන්න සැලසුම්. අමල් ශිවන්ත @USER  · 28 Apr 2019 රූපවාහිනී චැනල් fun වැඩසටහන් වෙනුවට බොදුගී,රජකාලේ හා ගැමි පසුබිම් තේමාවූ චිත්‍රපට පෙන්වයි.අවුරුදු අවසන් වී ඇති වන වෙසක් ගතිය දැන් නෑ දැනෙන්නෙ.ප්‍රසිද්ධ වෙසක් කලාප නවතාදමා ඇති බව නිවේදන යනවිට දැනෙන්නේ පුදුමාකාර දුකක්.සතියකට පෙර තිබූ සතුට නිදහස කෝ. #SriLanka #lka #EsterSundayAttak",The little communities in the country have made a flower.People who had to eat in the morning were a great curse to the country to kill the innocent people who had gone to God.#Srilankaattack #srilanka #srilanka #srilanka #srilanka #sa is planning to kill the nation inside the mosque.Amal Shivantha @user · 28 April The announcement is not the pleasure before the end of the end of the end of the year.Where is freedom?#Srilanka #kka #esundayattak,"රටේ සිටින සුලු ජාතින් විසින් මුලුමහත් ජනතාවම මලගෙයක් කලා. උදේට කන්න ගියපු මිනිසුන්, දෙවියන් යැදීමට ගිය අහිංසක මිනිසුන් අමු අමුවේ මරන්න තරම් ඒ සක්කිලි ජාතිය රටටම මහා සාපයක්. #SriLankaAttack #SriLanka #lka සමාජෙට පේන්න දුක් සෝකප්‍රකාශ කරන ගමන් පල්ලිය ඇතුලෙ ජාතිය මරන්න සැලසුම්. අමල් ශිවන්ත @USER  · 28 Apr 2019 රූපවාහිනී චැනල් fun වැඩසටහන් වෙනුවට බොදුගී,රජකාලේ හා ගැමි පසුබිම් තේමාවූ චිත්‍රපට පෙන්වයි.අවුරුදු අවසන් වී ඇති වන වෙසක් ගතිය දැන් නෑ දැනෙන්නෙ.ප්‍රසිද්ධ වෙසක් කලාප නවතාදමා ඇති බව නිවේදන යනවිට දැනෙන්නේ පුදුමාකාර දුකක්.සතියකට පෙර තිබූ සතුට නිදහස කෝ. #SriLanka #lka #EsterSundayAttak The little communities in the country have made a flower.People who had to eat in the morning were a great curse to the country to kill the innocent people who had gone to God.#Srilankaattack #srilanka #srilanka #srilanka #srilanka #sa is planning to kill the nation inside the mosque.Amal Shivantha @user · 28 April The announcement is not the pleasure before the end of the end of the end of the year.Where is freedom?#Srilanka #kka #esundayattak",HOF
task1a_test_39,@USER කතන්දර අවශ්‍ය නැත හේලාදැකිම් අවශ්‍ය නැත පාකිස්තානය සමග සියලුම සම්බන්ධතා වහාම නවතා දැමිය යුතුය  සියලුම දේශපාලන පක්ෂ පාට නොබලා එයට සහය දිය යුතුය එ ශ්‍රි ලාංකිකයා වෙනුවෙන් සියලුම ලාංකීය ජනතාව එකාවන්ව බේද අතහැර එක්විය යුතුය,@User stories don't need calemps no captivity should be stopped immediately with Pakistan. All Sri Lankan people should leave the colored and all Sri Lankans should abandon the two,@USER කතන්දර අවශ්‍ය නැත හේලාදැකිම් අවශ්‍ය නැත පාකිස්තානය සමග සියලුම සම්බන්ධතා වහාම නවතා දැමිය යුතුය  සියලුම දේශපාලන පක්ෂ පාට නොබලා එයට සහය දිය යුතුය එ ශ්‍රි ලාංකිකයා වෙනුවෙන් සියලුම ලාංකීය ජනතාව එකාවන්ව බේද අතහැර එක්විය යුතුය @User stories don't need calemps no captivity should be stopped immediately with Pakistan. All Sri Lankan people should leave the colored and all Sri Lankans should abandon the two,NOT
task1a_test_40,@USER එතකොට විපක්ෂයේ ඉන්න කොට අපි ආවහම රටට අහිතකර ගිවිසුම් සියල්ල අහෝසි කරනවා කිව්වා නේද,"@User නැහැ ... when we come to the opposition, we told the country abolish all the unfavorable agreements to the country.","@USER එතකොට විපක්ෂයේ ඉන්න කොට අපි ආවහම රටට අහිතකර ගිවිසුම් සියල්ල අහෝසි කරනවා කිව්වා නේද @User නැහැ ... when we come to the opposition, we told the country abolish all the unfavorable agreements to the country.",NOT
task1a_test_41,ඒකි ඒම නෑ බං #jaysays,"Not at all, bung #jaysays","ඒකි ඒම නෑ බං #jaysays Not at all, bung #jaysays",NOT
task1a_test_42,නහපුඩු මහත් කොට මී ගොන් මුලුබ නැඩ කිමිදෙති නැවුම් පුස්ඹෙහි වෙල් කුඹුරු බඩ  හැමදාම වහිනකොට මට මේක මතක් වෙනව අෆ්ෆා... අදත් එහෙමයි....,"Uhilidi dimhes and bulls bull dimmed and dimmed the vel paddy fields in fresh puffed, Affa ...","නහපුඩු මහත් කොට මී ගොන් මුලුබ නැඩ කිමිදෙති නැවුම් පුස්ඹෙහි වෙල් කුඹුරු බඩ  හැමදාම වහිනකොට මට මේක මතක් වෙනව අෆ්ෆා... අදත් එහෙමයි.... Uhilidi dimhes and bulls bull dimmed and dimmed the vel paddy fields in fresh puffed, Affa ...",NOT
task1a_test_43,මෙව්වෑ like/comment සහ RT නිකන් එක ඡන්දයක් වගේ. පට්ට පොරක් දැම්මත් කුජීත ඩයල් එකක් දැම්මත් count වෙන්නෙ එකයි.  මේ තියරිය තේරුම් ගත් බුද්ධිමතුන් ලේසියෙන් ලැබෙන like/comment/RT එක target කරනවා විනා ප්‍රයෝජනවත් දෙයක් tweet කරන්න තරම් හරක් වෙන්නෙ නෑ.,"This is the LIKE / Comment and RT just like one vote.One of the cuisms is a good thing.As you do Target, the intellectuals who understand this islands are easy to take a useful thing.","මෙව්වෑ like/comment සහ RT නිකන් එක ඡන්දයක් වගේ. පට්ට පොරක් දැම්මත් කුජීත ඩයල් එකක් දැම්මත් count වෙන්නෙ එකයි.  මේ තියරිය තේරුම් ගත් බුද්ධිමතුන් ලේසියෙන් ලැබෙන like/comment/RT එක target කරනවා විනා ප්‍රයෝජනවත් දෙයක් tweet කරන්න තරම් හරක් වෙන්නෙ නෑ. This is the LIKE / Comment and RT just like one vote.One of the cuisms is a good thing.As you do Target, the intellectuals who understand this islands are easy to take a useful thing.",NOT
task1a_test_44,මේ රෙද්දේ ජනාධිපතිවරණයක් හින්දා යකෝ නිදහසේ ඉන්න නෑනේ.. මොකා හම්බුනත් එක්කෝ ගෝඨා නැත්නම් සජිත්.. අලුත් එක හමුදාපති මහේෂ්.. දාන දවසට දාන්නම් ප්‍රතිඵල ආපුවම බලාගනියව්.. ..,This cloth is free to stay free of this cloth .. No new Army Commander Mahesh.,මේ රෙද්දේ ජනාධිපතිවරණයක් හින්දා යකෝ නිදහසේ ඉන්න නෑනේ.. මොකා හම්බුනත් එක්කෝ ගෝඨා නැත්නම් සජිත්.. අලුත් එක හමුදාපති මහේෂ්.. දාන දවසට දාන්නම් ප්‍රතිඵල ආපුවම බලාගනියව්.. .. This cloth is free to stay free of this cloth .. No new Army Commander Mahesh.,HOF
task1a_test_45,@USER ඔව් බං හුත්ත...  කුණුහරපම කියනව මේ පක්කු,@User yes bunnu ... rotten this puckks,@USER ඔව් බං හුත්ත...  කුණුහරපම කියනව මේ පක්කු @User yes bunnu ... rotten this puckks,HOF
task1a_test_46,@USER  @USER    තඩි පුතුට සීට් එක ඇති වුනාඩ,"@Ser @user puppy son, the seat","@USER  @USER    තඩි පුතුට සීට් එක ඇති වුනාඩ @Ser @user puppy son, the seat",NOT
task1a_test_47,@USER @USER  අඩො උන් පැරදුනා ද ? අඩෝ මන් හිතුවේ උන් ඉයියේ දින්නා කියලා. දැන් නේ මතක් උනේ අද April Fools Day නේ,Are they old @ser @ser?Everyone thought they were the winter.Now is the April Fools Day today,@USER @USER  අඩො උන් පැරදුනා ද ? අඩෝ මන් හිතුවේ උන් ඉයියේ දින්නා කියලා. දැන් නේ මතක් උනේ අද April Fools Day නේ Are they old @ser @ser?Everyone thought they were the winter.Now is the April Fools Day today,NOT
task1a_test_48,කවුද යකෝ ඩිල්ශාන්ට පොරොන්දු දීලා මගඇරපු ඉන්දියන් ගෑණි. කොල්ලා දැන් හැඩූකඳුලින්මයි. MR.HUMORIST @USER  · 2 Sep 2018 ක්‍යා හුවා තේරා වාදා..,Who has been promised by Dilshan promised.The boy is now.Mr.Humorist @ser · 2 Sep 2018 Hua Tera Weshaya,කවුද යකෝ ඩිල්ශාන්ට පොරොන්දු දීලා මගඇරපු ඉන්දියන් ගෑණි. කොල්ලා දැන් හැඩූකඳුලින්මයි. MR.HUMORIST @USER  · 2 Sep 2018 ක්‍යා හුවා තේරා වාදා.. Who has been promised by Dilshan promised.The boy is now.Mr.Humorist @ser · 2 Sep 2018 Hua Tera Weshaya,NOT
task1a_test_49,අර අසේන් පසිඳු ගමකට ගහන්ඩ ටෝක් දුන්නට හෙන සරංගලයක් වගේ ඩෑල් එකක්නෙ ප්‍රෙන්ස්,A Del is like a gift like a bear to Aasane Boxulla village,අර අසේන් පසිඳු ගමකට ගහන්ඩ ටෝක් දුන්නට හෙන සරංගලයක් වගේ ඩෑල් එකක්නෙ ප්‍රෙන්ස් A Del is like a gift like a bear to Aasane Boxulla village,NOT
task1a_test_50,@USER අයියා කිමද නොයන්නේ...මට කරුම විභාගයක් සෙට් වුණා,@Uuseer brother not going to go ... I was setting a cable exam,@USER අයියා කිමද නොයන්නේ...මට කරුම විභාගයක් සෙට් වුණා @Uuseer brother not going to go ... I was setting a cable exam,NOT
task1a_test_51,@USER බලාපොරොත්තු නොවන එකයි ලැබෙන එකයි දෙකක්,@User is two that is not expected,@USER බලාපොරොත්තු නොවන එකයි ලැබෙන එකයි දෙකක් @User is two that is not expected,NOT
task1a_test_52,සිගරට් බොන්නැති උන් පට්ට සල්ලි ගාණක් ඉතුරු කරගෙන ආයේ ලොවෙත් සල්ලි හොයන සෙට් එකක් බං! :O කෝටිපතියොම කී දෙනෙක්ද නේ? URL,Sounds cigarettes drinking cigarettes and left a set for the money in the world!: O millionaire?URL,සිගරට් බොන්නැති උන් පට්ට සල්ලි ගාණක් ඉතුරු කරගෙන ආයේ ලොවෙත් සල්ලි හොයන සෙට් එකක් බං! :O කෝටිපතියොම කී දෙනෙක්ද නේ? URL Sounds cigarettes drinking cigarettes and left a set for the money in the world!: O millionaire?URL,NOT
task1a_test_53,@USER සෙස් ඉන්ඩස්ට්‍රි එක නග්ගල මීටවඩා හොඳ ආතල් එකක් සෙස් හොයන අයට අඩුවට දෙන්න කාටවත් ඕනි නෑ.. කොටින්ම නාකි ගොන්නුන්ට අහුවෙන උන්ටවත්..  බොරු සෝබනේට පෞ ගානො..,"@Ser Zess Industry, no one wants to let the cessing good dough.","@USER සෙස් ඉන්ඩස්ට්‍රි එක නග්ගල මීටවඩා හොඳ ආතල් එකක් සෙස් හොයන අයට අඩුවට දෙන්න කාටවත් ඕනි නෑ.. කොටින්ම නාකි ගොන්නුන්ට අහුවෙන උන්ටවත්..  බොරු සෝබනේට පෞ ගානො.. @Ser Zess Industry, no one wants to let the cessing good dough.",HOF
